product_id,Column1,type,category , sub_category
P0596,Chutney Mix (Fresho),Seasonal Fruits,Fruits & Vegetables , Exotic Fruits & Veggies
P0597,Butterscotch Milkshake (Amul),Leafy Vegetables,Fruits & Vegetables , Exotic Fruits & Veggies
P0598,Ginger Doodh Shot (Amul),Exotic Vegetables,Fruits & Vegetables , Exotic Fruits & Veggies
P0599,Tulsi Doodh Shot (Amul),Organic Vegetables,Fruits & Vegetables , Exotic Fruits & Veggies
P0600,Sanitary Pads (Comfy Snug Fit),"Marie, Health, Digestive",Snacks & Branded Foods , Biscuits & Cookies
P0601,Bake Rusk Toast (Britannia),Cookies,Snacks & Branded Foods , Biscuits & Cookies
P0602,Gulabari Premium Rose Water - Paraben Free Skin Toner (Dabur),Cookies,Snacks & Branded Foods , Biscuits & Cookies
P0603,Hand Sanitizer (Godrej Protekt),Blended Masalas,"Foodgrains, Oil & Masala ", Masalas & Spices
P0604,Wafers - Waffy (Vanilla Flavor) (Dukes),Chips & Corn Snacks,Snacks & Branded Foods , Snacks & Namkeen
P0605,Cookies - Butter (Unibic),Chips & Corn Snacks,Snacks & Branded Foods , Snacks & Namkeen
P0606,Wafers - Waffy (Strawberry Flavor) (Dukes),Chips & Corn Snacks,Snacks & Branded Foods , Snacks & Namkeen
P0607,Cookies - Choconut (Unibic),"Flavoured, Soya Milk","Bakery, Cakes & Dairy ", Dairy
P0608,Wafers - Waffy (Orange Flavor) (Dukes),"Flavoured, Soya Milk","Bakery, Cakes & Dairy ", Dairy
P0609,Wafers - Waffy (Pineapple Flavor) (Dukes),"Flavoured, Soya Milk","Bakery, Cakes & Dairy ", Dairy
P0610,Treat Wafers - Chocolate (Britannia),"Kiwi, Melon, Citrus Fruit",Fruits & Vegetables , Fresh Fruits
P0611,Treat Wafers - Strawberry (Britannia),Bathing Bars & Soaps,Beauty & Hygiene , Bath & Hand Wash
P0613,Waffy Cheese Flavor Wafer (Dukes),Chips & Corn Snacks,Snacks & Branded Foods , Snacks & Namkeen
P0614,Wafers - Waffy (Chocolate Flavor) (Dukes),Cream Biscuits & Wafers,Snacks & Branded Foods , Biscuits & Cookies
P0615,"Wafers - Waffy, Golden Cream (Dukes)",Cut & Peeled Veggies,Fruits & Vegetables , Fresh Vegetables
P0616,Corn Flour (Puramate),"Banana, Sapota & Papaya",Fruits & Vegetables , Fresh Fruits
P0617,Hair Gel Super Hold (Vi-john),Powdered Spices,"Foodgrains, Oil & Masala ", Masalas & Spices
P0618,Hair Gel Vertical Hold (Vi-john),Powdered Spices,"Foodgrains, Oil & Masala ", Masalas & Spices
P0619,Hair Gel Cool Hold (Vi-john),Powdered Spices,"Foodgrains, Oil & Masala ", Masalas & Spices
P0620,Hair Gel Regular Hold (Vi-john),Powdered Spices,"Foodgrains, Oil & Masala ", Masalas & Spices
P0621,Subhmangal Semi Economy Box - FG00825 (Shalimar),Powdered Spices,"Foodgrains, Oil & Masala ", Masalas & Spices
P0622,Microwave Popcorn - Butter (ACT II),Powdered Spices,"Foodgrains, Oil & Masala ", Masalas & Spices
P0623,Sterilised Double Toned Flavored Milk - Strawberry (THIRUMALA),Whole Spices,"Foodgrains, Oil & Masala ", Masalas & Spices
P0625,Pineapple 100% Fruit Juice - No Added Sugar (Storia),Blended Masalas,"Foodgrains, Oil & Masala ", Masalas & Spices
P0626,Green Mango 100% Fruit Juice - No Added Sugar (Storia),Cut & Peeled Veggies,Fruits & Vegetables , Cuts & Sprouts
P0627,Banana - Robusta (Fresho),"Flavoured, Soya Milk","Bakery, Cakes & Dairy ", Dairy
P0628,Masala 2 Minute Instant Noodles (MAGGI ),"Toffee, Candy & Lollypop",Snacks & Branded Foods , Chocolates & Candies
P0629,"Battery - Hyper, D, 1U, Hyper, Heavy Duty (Nippo)","Toffee, Candy & Lollypop",Snacks & Branded Foods , Chocolates & Candies
P0630,Brinjal - Bottle Shape (Fresho),Whole Spices,"Foodgrains, Oil & Masala ", Masalas & Spices
P0631,Sambhar Onion (Small Onion) (Fresho),Whole Spices,"Foodgrains, Oil & Masala ", Masalas & Spices
P0632,Cabbage - Red (Fresho),Pet Meals & Treats,"Kitchen, Garden & Pets ", Pet Food & Accessories
P0633,Coriander Leaves - Chopped (Fresho),Pet Meals & Treats,"Kitchen, Garden & Pets ", Pet Food & Accessories
P0634,Coccinia - Julienne (Fresho),"Flavoured, Soya Milk","Bakery, Cakes & Dairy ", Dairy
P0635,Coccinia - Sliced (Fresho),"Flavoured, Soya Milk","Bakery, Cakes & Dairy ", Dairy
P0636,Red Cabbage - Grated (Fresho),"Flavoured, Soya Milk","Bakery, Cakes & Dairy ", Dairy
P0637,Green Salad (Fresho),Namkeen & Savoury Snacks,Snacks & Branded Foods , Snacks & Namkeen
P0638,"Organic, Fennel /Saunf/Sompu Powder (bb Royal)",Shaving Care,Beauty & Hygiene , Men's Grooming
